question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""What is the total number of anomalous traffic samples, and what percentage does this represent?""",30.2198965549469,1.75,0.022749912421108368,0.0,6947.5625,93,13423,3202
"""What is the behavioral signature of a 'DDoS_UDP' attack and its severity level?""",12.573721408843994,0.0,0.03479479032295696,0.0,2.0,91,7569,1565
"""What is the recommended mitigation strategy for a 'Ransomware' attack?""",11.228225946426392,0.0,0.027831645131745214,0.0,0.0,68,7402,1370
"""What is the risk associated with a 'Port Scanning' attack?""",9.051871538162231,0.0,0.03107092260581293,0.0,0.0,85,5622,1100
"""What is the dominant detected attack and its total count?""",8.614847421646118,0.0,0.025392208276418006,0.0,0.0,84,4806,952
"""What is the severity of a 'Backdoor' attack, and what is its behavioral signature?""",11.507237434387207,0.0,0.03801955095604577,0.0,0.125,82,7268,1454
"""How many samples were classified as 'SQL Injection' and what category does it fall under?""",3.8490612506866455,0.0,0.024356588241686,0.0,0.0,71,2210,424
"""What is the category and behavioral signature of a 'Password' attack?""",11.754456758499146,0.0,0.034561359010169046,0.0,0.0,72,7847,1475
"""What is the recommended mitigation strategy for a 'Vul Scanner' attack?""",13.229280710220337,0.0,0.02598402797020043,0.0,0.0,85,8007,1580
"""What is the risk of a 'DDoS_TCP' attack?""",12.218402624130249,0.0,0.03069140963315637,0.0,0.0,78,7751,1546
"""What is the average TTL for the TCP connections listed in the summary?""",5.737041711807251,0.0,0.021788232730248103,0.0,0.0,75,2749,603
"""What is the total number of packets sent for Flow ID TCP_0, and what is its duration?""",32.29289793968201,0.0,0.029998856151265144,0.0,0.1875,71,16886,3568
"""What are the MAC vendors for the source and destination IP addresses in the documented flows?""",32.87738227844238,0.0,0.02946554539517557,0.0,-0.1875,80,16003,3817
"""What is the total number of TCP flows detected, and how many more TCP flows are there than UDP flows?""",29.362719297409058,0.0,0.028735417569940483,0.0,0.0,66,13307,3639
"""Which IP address is the top talker and what is the count of its corresponding flows?""",44.50470328330994,0.0,0.016149978473613522,0.0,-0.625,84,11465,2504
