question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""What is the total number of anomalous traffic samples, and what percentage does this represent?""",12.130069494247437,243.98046875,2.5427513020125176,634.0,7225.125,88,75,17
"""What is the behavioral signature of a 'DDoS_UDP' attack and its severity level?""",9.658677577972412,2.0234375,2.918360176374913,0.0,0.0,89,294,59
"""What is the recommended mitigation strategy for a 'Ransomware' attack?""",7.535640716552734,0.359375,2.9360476211930298,0.0,0.0,69,232,37
"""What is the risk associated with a 'Port Scanning' attack?""",7.667219161987305,0.578125,2.7593120208287347,0.0,6.0,52,523,80
"""What is the dominant detected attack and its total count?""",7.664431095123291,0.95703125,2.9723341128991536,0.0,0.0,64,117,27
"""What is the severity of a 'Backdoor' attack, and what is its behavioral signature?""",10.064707517623901,-0.484375,2.952768368873181,0.0,2.0,69,310,51
"""How many samples were classified as 'SQL Injection' and what category does it fall under?""",10.581244230270386,0.4375,3.0094523202576458,0.0,0.0,71,142,32
"""What is the category and behavioral signature of a 'Password' attack?""",8.229099750518799,-1.50390625,2.973441900307184,0.0,0.0,77,160,34
"""What is the recommended mitigation strategy for a 'Vul Scanner' attack?""",8.101808547973633,-0.57421875,3.004730345805155,0.0,0.0,81,122,18
"""What is the risk of a 'DDoS_TCP' attack?""",6.11434531211853,-0.3984375,2.8467888402542667,0.0,0.0,70,268,53
"""What is the average TTL for the TCP connections listed in the summary?""",9.614571809768677,1.43359375,2.8992450783588946,0.0,57.875,72,86,17
"""What is the total number of packets sent for Flow ID TCP_0, and what is its duration?""",11.958051919937134,-0.234375,2.9948439963110824,0.0,0.1875,69,250,46
"""What are the MAC vendors for the source and destination IP addresses in the documented flows?""",10.813471794128418,0.66796875,2.988170738795037,0.0,0.0,78,192,30
"""What is the total number of TCP flows detected, and how many more TCP flows are there than UDP flows?""",13.673012733459473,-0.13671875,3.0397470411397784,0.0,0.0,72,116,24
"""Which IP address is the top talker and what is the count of its corresponding flows?""",10.589761734008789,1.23046875,2.9804731015465347,0.0,0.0,72,290,49
"""What is the application summary for the flows with an App Payload Size of 1106 bytes?""",11.042393445968628,1.15625,3.005462553239864,0.0,0.0,70,152,26
"""What is the TCP Flag Pattern for Flow ID TCP_7?""",7.954317092895508,0.91015625,2.844367371299268,0.0,0.0,71,62,17
"""What is the source port for Flow ID TCP_1?""",6.993703126907349,0.31640625,2.815032271566544,0.0,0.0,76,55,14
"""How many total bytes were exchanged in Flow ID TCP_9?""",7.272099018096924,0.6328125,3.0295585834536007,0.0,2.0,23,8,3
"""What is the duration of Flow ID TCP_12?""",7.024154901504517,1.27734375,2.7494410745217697,0.0,0.0,66,118,28
"""What is the duration and total number of packets for the TCP connection with UID 'CSaCuV34LSgK4Drh03'?""",10.468154430389404,0.31640625,3.0121116582368925,0.0,0.0,50,173,37
"""What are the `id.orig_h` and `id.resp_h` for the SSL connection with UID 'CecYuJ2aSfvTb8m805', and what is the server name?""",12.82969856262207,0.38671875,2.9472633215376223,0.0,0.0,72,183,52
"""What is the DNS query and response code for the request related to 'safebrowsing.googleapis.com'?""",11.487384557723999,0.5390625,2.6251623986700494,0.0,0.0,71,811,164
